"","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"173","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","👑","👑","@Yooooo91","https://yt3.ggpht.com/MBS4b5asKDk8e6H7B1VhMjoevqupzA4NGNC8FszeSjICEvMtOcOyVoPpjIg1yJy2zxb1Dx8toB8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Yooooo91","UCBlJsR0CddCahsqrjbrAkbw","TRUE","none","0","2024-09-29T17:22:39Z","2024-09-29T17:22:39Z","UgwLdbklJOheR1jYj_J4AaABAg",NA,NA
"174","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","😊","😊","@victoria8836","https://yt3.ggpht.com/ytc/AIdro_napKgRNj3H1rRhjRb5zYLIH9o9JHM6gy4myPvPA5mtErQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@victoria8836","UCsV5n6Yt28SvGiL0yqhzr5Q","TRUE","none","0","2024-09-29T17:01:22Z","2024-09-29T17:01:22Z","Ugx-vnOax1QGbmLsRZB4AaABAg",NA,NA
"175","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Nike commercials always hit 🔥","Nike commercials always hit 🔥","@calebbraswell9109","https://yt3.ggpht.com/VZcdkCBUab4vW7PYOR4H7xFfHegTrgBQerLXBgHLkxIqPU7N5pZY63sS67o-R1Rkm2-scp-Xpg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@calebbraswell9109","UC8jlgn4eLAQXjhSRztbUX2w","TRUE","none","64","2024-09-29T16:53:00Z","2024-09-29T16:53:00Z","Ugw8eGD_hAlPoGt0BGd4AaABAg",NA,NA
"176","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Still ain&#39;t buying his shoes for 4 my children.But I will buy the Sabrina&#39;s 4 my kids❤","Still ain't buying his shoes for 4 my children.But I will buy the Sabrina's 4 my kids❤","@hoopdr3amz23","https://yt3.ggpht.com/SINEu_zpcTaOXycSRX2m5mvWKyeDQc3i29_d8irrCaYEcg5DfpUAC4M5e17HwKpZYJAhsqo5vQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@hoopdr3amz23","UCB9dj_HkaEOJbnByiknwUUg","TRUE","none","5","2024-09-29T16:49:09Z","2024-09-29T16:50:12Z","UgzutOBPCgaprmT5HDx4AaABAg",NA,NA
"177","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","that&#39;s the backyard he beat a minor?","that's the backyard he beat a minor?","@phristo","https://yt3.ggpht.com/ytc/AIdro_kghP5CqdQSNBc98v7AEbmZdmB5Lv7ZZoUrA7HaG-dZER8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@phristo","UCtzRbGC_fy2gTb0b0pKDeQw","TRUE","none","13","2024-09-29T16:34:12Z","2024-09-29T16:34:12Z","UgzX_qs6bEotxcVa4vZ4AaABAg",NA,NA
"178","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","what was the backsound?","what was the backsound?","@BrianAsadeleEllma","https://yt3.ggpht.com/lTBWdAFsUSiALyOnf1MvFmjQcM7UcHQQrBrBCoPi_2FGFP7S28la5w6KASjhPE-raWnFLeqq-w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@BrianAsadeleEllma","UCEka-L-B6jflLtXooTSrM_A","TRUE","none","0","2024-09-29T16:33:28Z","2024-09-29T16:33:28Z","UgxhPv3VTRuYtntLqqF4AaABAg",NA,NA
"179","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","king of MEMPHIS🐻","king of MEMPHIS🐻","@kwasinimako","https://yt3.ggpht.com/SJmgGsPNY6mcgvW9Or0NvCCiAkO2tJNkysBbB58lDrgjhwV_Xjbze6Doau6_I20FeiD65ycmURA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kwasinimako","UCWrzEhCht5lUkNukalTACsA","TRUE","none","37","2024-09-29T16:33:20Z","2024-09-29T16:33:20Z","UgzVPLgqTHTnbON-xZV4AaABAg",NA,NA
"180","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","12 ❤❤","12 ❤❤","@DatkidJayden","https://yt3.ggpht.com/aUwM8ehbxoKliyOrN4GzLgK0FXFxcaUmf5CGAxAJOSqMMa0mZh0QuwExwOjhTW58g3btxG3x3oM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DatkidJayden","UC5vt6GLUbtLv-_HGfSdvWrA","TRUE","none","10","2024-09-29T16:24:24Z","2024-09-29T16:24:24Z","UgxYgdBcG9UKCsXCzvp4AaABAg",NA,NA
"181","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","❤🫡","❤🫡","@vainernardo3432","https://yt3.ggpht.com/ytc/AIdro_llJuxDZKGdOG-IKGElRS3wSCJ50XUBXsrd6I3_2Aevb1KEal-nCZbghiHmWbA_2-sixg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@vainernardo3432","UC4RlKLJlzhP2FUkTUDIpj9Q","TRUE","none","0","2024-09-29T16:04:59Z","2024-09-29T16:04:59Z","Ugzy-ssgjA-CAtRJ9SF4AaABAg",NA,NA
"182","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","🫡🫡","🫡🫡","@TheTheboss8","https://yt3.ggpht.com/ytc/AIdro_kdqPdF3HTvj2YsZcX-fJfkF-PiVXF8Zrx6oyYfCLjZm8C9=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@TheTheboss8","UCePwfHfg6HGCFG6o1bD-AEg","TRUE","none","0","2024-09-29T16:03:08Z","2024-09-29T16:03:08Z","UgwCrwExuPCxxFpKKJV4AaABAg",NA,NA
